time,T,P0,P,U,RAIN,Td
2023/2/6 0:00,18.2,756.7,762.4,86,0,15.8
2023/2/6 1:00,18.2,756.7,762.4,86,0,15.8
2023/2/6 2:00,17.5,756.4,762.1,89,0,15.6
2023/2/6 3:00,17.5,756.4,762.1,89,0,15.6
2023/2/6 4:00,17.5,756.4,762.1,89,0,15.6
2023/2/6 5:00,17.4,755.5,761.2,89,0,15.5
2023/2/6 6:00,17.4,755.5,761.2,89,0,15.5
2023/2/6 7:00,17.4,755.5,761.2,89,0,15.5
2023/2/6 8:00,18.0,756.3,762.0,90,0,16.3
2023/2/6 9:00,18.0,756.3,762.0,90,0,16.3
2023/2/6 10:00,18.0,756.3,762.0,90,0,16.3
2023/2/6 11:00,20.8,756.7,762.4,79,0,17.0
2023/2/6 12:00,20.8,756.7,762.4,79,0,17.0
2023/2/6 13:00,20.8,756.7,762.4,79,0,17.0
2023/2/6 14:00,23.2,754.0,759.6,71,0,17.6
2023/2/6 15:00,23.2,754.0,759.6,71,0,17.6
2023/2/6 16:00,23.2,754.0,759.6,71,0,17.6
2023/2/6 17:00,21.6,753.3,759.0,77,0,17.4
2023/2/6 18:00,21.6,753.3,759.0,77,0,17.4
2023/2/6 19:00,21.6,753.3,759.0,77,0,17.4
2023/2/6 20:00,19.9,754.6,760.3,86,0,17.4
2023/2/6 21:00,19.9,754.6,760.3,86,0,17.4
2023/2/6 22:00,19.9,754.6,760.3,86,0,17.4
2023/2/6 23:00,19.4,755.3,761.0,87,0,17.1
2023/2/7 0:00,19.4,755.3,761.0,87,0,17.1
2023/2/7 1:00,19.4,755.3,761.0,87,0,17.1
2023/2/7 2:00,19.3,755.5,761.1,87,0,17.0
2023/2/7 3:00,19.3,755.5,761.1,87,0,17.0
2023/2/7 4:00,19.3,755.5,761.1,87,0,17.0
2023/2/7 5:00,18.5,755.2,760.9,89,0,16.6
2023/2/7 6:00,18.5,755.2,760.9,89,0,16.6
2023/2/7 7:00,18.5,755.2,760.9,89,0,16.6
2023/2/7 8:00,19.0,756.7,762.4,90,0,17.3
2023/2/7 9:00,19.0,756.7,762.4,90,0,17.3
2023/2/7 10:00,19.0,756.7,762.4,90,0,17.3
2023/2/7 11:00,19.0,756.7,762.4,90,0,17.3
2023/2/7 12:00,19.0,756.7,762.4,90,0,17.3
2023/2/7 13:00,19.0,756.7,762.4,90,0,17.3
2023/2/7 14:00,24.7,755.2,760.8,66,0,17.9
2023/2/7 15:00,24.7,755.2,760.8,66,0,17.9
2023/2/7 16:00,24.7,755.2,760.8,66,0,17.9
2023/2/7 17:00,23.6,754.7,760.3,73,0,18.4
2023/2/7 18:00,23.6,754.7,760.3,73,0,18.4
2023/2/7 19:00,23.6,754.7,760.3,73,0,18.4
2023/2/7 20:00,20.3,756.0,761.7,88,0,18.2
2023/2/7 21:00,20.3,756.0,761.7,88,0,18.2
2023/2/7 22:00,20.3,756.0,761.7,88,0,18.2
2023/2/7 23:00,20.2,757.3,763.0,86,0,17.7
2023/2/8 0:00,20.2,757.3,763.0,86,0,17.7
2023/2/8 1:00,20.2,757.3,763.0,86,0,17.7
2023/2/8 2:00,18.9,757.1,762.7,90,0,17.2
2023/2/8 3:00,18.9,757.1,762.7,90,0,17.2
2023/2/8 4:00,18.9,757.1,762.7,90,0,17.2
2023/2/8 5:00,17.4,757.0,762.7,90,0,15.7
2023/2/8 6:00,17.4,757.0,762.7,90,0,15.7
2023/2/8 7:00,17.4,757.0,762.7,90,0,15.7
2023/2/8 8:00,17.2,758.2,763.9,87,0,15.0
2023/2/8 9:00,17.2,758.2,763.9,87,0,15.0
2023/2/8 10:00,17.2,758.2,763.9,87,0,15.0
2023/2/8 11:00,19.2,758.1,763.8,78,0,15.2
2023/2/8 12:00,19.2,758.1,763.8,78,0,15.2
2023/2/8 13:00,19.2,758.1,763.8,78,0,15.2
2023/2/8 14:00,20.5,756.4,762.1,73,0,15.5
2023/2/8 15:00,20.5,756.4,762.1,73,0,15.5
2023/2/8 16:00,20.5,756.4,762.1,73,0,15.5
2023/2/8 17:00,20.2,756.1,761.8,75,0,15.6
2023/2/8 18:00,20.2,756.1,761.8,75,0,15.6
2023/2/8 19:00,20.2,756.1,761.8,75,0,15.6
2023/2/8 20:00,18.7,756.8,762.5,80,0,15.1
2023/2/8 21:00,18.7,756.8,762.5,80,0,15.1
2023/2/8 22:00,18.7,756.8,762.5,80,0,15.1
2023/2/8 23:00,18.4,757.3,763.0,82,0,15.2
2023/2/9 0:00,18.4,757.3,763.0,82,0,15.2
2023/2/9 1:00,18.4,757.3,763.0,82,0,15.2
2023/2/9 2:00,18.0,757.0,762.7,83,0,15.0
2023/2/9 3:00,18.0,757.0,762.7,83,0,15.0
2023/2/9 4:00,18.0,757.0,762.7,83,0,15.0
2023/2/9 5:00,17.4,756.4,762.1,89,0,15.5
2023/2/9 6:00,17.4,756.4,762.1,89,0,15.5
2023/2/9 7:00,17.4,756.4,762.1,89,0,15.5
2023/2/9 8:00,17.9,757.5,763.2,89,0,16.0
