non_poi_variant,removed_non_poi,poi_feature_count,poi_features,features,feature_list,mae,r2,elapsed_seconds
no_humidity,humidity,3,poi_lifestyle_services_count|poi_lifestyle_ratio|poi_business_residential_ratio,16,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_lifestyle_services_count|poi_lifestyle_ratio|poi_business_residential_ratio,0.12785950776786276,0.5143279875821964,4.630174000001716
no_humidity,humidity,3,poi_business_residential_count|poi_lifestyle_ratio|poi_business_residential_ratio,16,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_business_residential_count|poi_lifestyle_ratio|poi_business_residential_ratio,0.12787969790771098,0.5140431608404934,4.424625100000412
no_humidity,humidity,3,poi_lifestyle_services_count|poi_business_residential_count|poi_lifestyle_ratio,16,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_lifestyle_services_count|poi_business_residential_count|poi_lifestyle_ratio,0.12800216759226618,0.5138298598631778,4.611974800001917
no_humidity,humidity,3,poi_total_count|poi_business_residential_count|poi_business_residential_ratio,16,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_total_count|poi_business_residential_count|poi_business_residential_ratio,0.12796341609689746,0.5138192783933879,5.174823600002128
no_humidity,humidity,2,poi_lifestyle_services_count|poi_business_residential_ratio,15,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_lifestyle_services_count|poi_business_residential_ratio,0.1280230443348575,0.5137844931209035,4.861487799997121
no_humidity_evening_peak,humidity|is_evening_peak,3,poi_total_count|poi_lifestyle_services_count|poi_business_residential_ratio,15,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|poi_total_count|poi_lifestyle_services_count|poi_business_residential_ratio,0.12803010987105645,0.5137747001866136,4.935119300000224
no_humidity_evening_peak,humidity|is_evening_peak,3,poi_business_residential_count|poi_lifestyle_ratio|poi_food_beverage_ratio,15,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|poi_business_residential_count|poi_lifestyle_ratio|poi_food_beverage_ratio,0.12802277238942045,0.5137541486942268,4.369150899998203
no_humidity_evening_peak,humidity|is_evening_peak,3,poi_total_count|poi_business_residential_count|poi_lifestyle_ratio,15,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|poi_total_count|poi_business_residential_count|poi_lifestyle_ratio,0.12802195949564568,0.5135916086061436,5.352371699998912
no_humidity_evening_peak,humidity|is_evening_peak,3,poi_lifestyle_services_count|poi_business_residential_count|poi_business_residential_ratio,15,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|poi_lifestyle_services_count|poi_business_residential_count|poi_business_residential_ratio,0.1280263479910553,0.5135747927962498,7.5527082000007795
no_humidity_evening_peak,humidity|is_evening_peak,3,poi_total_count|poi_lifestyle_ratio|poi_business_residential_ratio,15,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|poi_total_count|poi_lifestyle_ratio|poi_business_residential_ratio,0.1280088115873344,0.5135676298315809,6.157558800001425
no_humidity,humidity,3,poi_total_count|poi_lifestyle_services_count|poi_business_residential_count,16,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_total_count|poi_lifestyle_services_count|poi_business_residential_count,0.12808330576581448,0.5135255398246562,5.072215299998788
no_humidity_evening_peak,humidity|is_evening_peak,3,poi_total_count|poi_food_beverage_count|poi_lifestyle_ratio,15,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|poi_total_count|poi_food_beverage_count|poi_lifestyle_ratio,0.12809495299507068,0.5134019574602013,5.360718600000837
no_humidity,humidity,3,poi_business_residential_count|poi_lifestyle_ratio|poi_food_beverage_ratio,16,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_business_residential_count|poi_lifestyle_ratio|poi_food_beverage_ratio,0.12807015380083134,0.5133412476380073,4.783755300002667
no_humidity_evening_peak,humidity|is_evening_peak,3,poi_lifestyle_services_count|poi_lifestyle_ratio|poi_business_residential_ratio,15,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|poi_lifestyle_services_count|poi_lifestyle_ratio|poi_business_residential_ratio,0.12808622043267268,0.5132104582389334,4.446685699997033
no_humidity_evening_peak,humidity|is_evening_peak,3,poi_total_count|poi_business_residential_ratio|poi_food_beverage_ratio,15,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|poi_total_count|poi_business_residential_ratio|poi_food_beverage_ratio,0.12818320639764627,0.5131893967362808,4.551235499999166
no_humidity_evening_peak,humidity|is_evening_peak,3,poi_business_residential_count|poi_business_residential_ratio|poi_food_beverage_ratio,15,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|poi_business_residential_count|poi_business_residential_ratio|poi_food_beverage_ratio,0.1280786577893684,0.5131764944305266,4.279344700000365
no_humidity_evening_peak,humidity|is_evening_peak,3,poi_total_count|poi_lifestyle_ratio|poi_food_beverage_ratio,15,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|poi_total_count|poi_lifestyle_ratio|poi_food_beverage_ratio,0.12812862517844212,0.5131565644736525,5.1137610000005225
no_humidity,humidity,3,poi_total_count|poi_business_residential_count|poi_food_beverage_ratio,16,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_total_count|poi_business_residential_count|poi_food_beverage_ratio,0.12815210640912797,0.5129940521116563,4.903711000002659
no_humidity,humidity,3,poi_total_count|poi_lifestyle_ratio|poi_business_residential_ratio,16,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_total_count|poi_lifestyle_ratio|poi_business_residential_ratio,0.12801947918009107,0.5129885340162018,4.289153499998065
no_humidity,humidity,3,poi_lifestyle_services_count|poi_food_beverage_count|poi_business_residential_ratio,16,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_lifestyle_services_count|poi_food_beverage_count|poi_business_residential_ratio,0.12806812450673397,0.5129869725389362,4.86898199999996
no_humidity,humidity,3,poi_total_count|poi_food_beverage_count|poi_business_residential_ratio,16,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_total_count|poi_food_beverage_count|poi_business_residential_ratio,0.12817886653352928,0.5129310074037196,4.944032999999763
no_humidity,humidity,3,poi_lifestyle_services_count|poi_business_residential_count|poi_business_residential_ratio,16,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_lifestyle_services_count|poi_business_residential_count|poi_business_residential_ratio,0.12808087146142977,0.5128986156563405,5.11187549999886
no_humidity,humidity,3,poi_lifestyle_services_count|poi_lifestyle_ratio|poi_food_beverage_ratio,16,station_id|weekday|hour|is_holiday|temperature|rain|charge_count|s_price|e_price|station_avg_occupancy|station_avg_duration|is_morning_peak|is_evening_peak|poi_lifestyle_services_count|poi_lifestyle_ratio|poi_food_beverage_ratio,0.12818076649726015,0.5128948102549231,4.889107800001511
