feature_set,feature,importance
horizon_context,station_same_hour_occupancy,0.49228227
horizon_context,station_avg_occupancy,0.10090136
horizon_context,station_peak_avg_occupancy,0.05745705
horizon_context,current_hour_cos,0.014042093
horizon_context,station_avg_duration,0.012678888
horizon_context,temperature,0.010934675
horizon_context,current_is_holiday,0.010610459
horizon_context,s_price,0.010388303
horizon_context,poi_lifestyle_services_count,0.010269351
horizon_context,target_is_holiday,0.01025035
horizon_context,rain,0.010216147
horizon_context,current_weekday,0.009833156
horizon_context,prediction_horizon_min,0.009751322
horizon_context,target_weekday,0.0094140805
horizon_context,latitude,0.0093580885
horizon_context,horizon_sqrt,0.009216238
horizon_context,neighbor_max_station_occupancy,0.009210764
horizon_context,charge_count,0.009187958
horizon_context,target_hour_cos,0.00903958
horizon_context,poi_lifestyle_ratio,0.008982786
horizon_context,neighbor_avg_duration,0.0087422505
horizon_context,poi_total_count,0.0087023815
horizon_context,TAZID,0.0084861675
horizon_context,poi_business_residential_count,0.008477881
horizon_context,neighbor_avg_peak_occupancy,0.008463675
horizon_context,e_price,0.008443644
horizon_context,longitude,0.0084306
horizon_context,poi_food_beverage_count,0.008253443
horizon_context,neighbor_avg_charge_count,0.008086538
horizon_context,target_is_morning_peak,0.007988739
horizon_context,global_same_hour_occupancy,0.007875305
horizon_context,neighbor_avg_station_occupancy,0.007873195
horizon_context,poi_business_residential_ratio,0.007843389
horizon_context,humidity,0.0076584234
horizon_context,poi_food_beverage_ratio,0.007591199
horizon_context,neighbor_avg_distance_m,0.007393469
horizon_context,current_is_evening_peak,0.007285494
horizon_context,current_is_morning_peak,0.0072262506
horizon_context,current_hour_sin,0.007006413
horizon_context,target_is_evening_peak,0.0067133848
horizon_context,target_hour_sin,0.006024863
horizon_context,neighbor_avg_same_hour_occupancy,0.0057683205
horizon_context,neighbor_avg_same_weekday_hour_occupancy,0.005640188
horizon_context,neighbor_count,0.0
horizon_lag_only,occupancy_lag_1,0.678353
horizon_lag_only,occupancy_rolling_mean_6,0.2391774
horizon_lag_only,occupancy_rolling_mean_12,0.029163241
horizon_lag_only,occupancy_lag_6,0.012444094
horizon_lag_only,occupancy_lag_3,0.010904014
horizon_lag_only,target_is_morning_peak,0.003643795
horizon_lag_only,occupancy_trend_12,0.0031835148
horizon_lag_only,horizon_sqrt,0.0030988648
horizon_lag_only,occupancy_rolling_std_12,0.0028834906
horizon_lag_only,occupancy_lag_12,0.0028798273
horizon_lag_only,prediction_horizon_min,0.0028672244
horizon_lag_only,target_hour_cos,0.002623478
horizon_lag_only,target_weekday,0.0026176667
horizon_lag_only,target_hour_sin,0.0022658985
horizon_lag_only,target_is_holiday,0.002041575
horizon_lag_only,target_is_evening_peak,0.0018529067
horizon_context_lag_no_station_id,occupancy_lag_1,0.56991607
horizon_context_lag_no_station_id,occupancy_rolling_mean_6,0.3010488
horizon_context_lag_no_station_id,occupancy_rolling_mean_12,0.035753343
horizon_context_lag_no_station_id,occupancy_lag_3,0.0130740795
horizon_context_lag_no_station_id,occupancy_lag_6,0.0032951506
horizon_context_lag_no_station_id,prediction_horizon_min,0.0028755453
horizon_context_lag_no_station_id,horizon_sqrt,0.0027784044
horizon_context_lag_no_station_id,current_is_morning_peak,0.0027318909
horizon_context_lag_no_station_id,target_is_morning_peak,0.002591973
horizon_context_lag_no_station_id,occupancy_trend_12,0.0022521126
horizon_context_lag_no_station_id,station_peak_avg_occupancy,0.002122884
horizon_context_lag_no_station_id,station_avg_occupancy,0.0021020055
horizon_context_lag_no_station_id,current_weekday,0.0020138735
horizon_context_lag_no_station_id,station_same_hour_occupancy,0.0019848833
horizon_context_lag_no_station_id,current_is_evening_peak,0.0019779943
