stage,trial,metric_scope,prediction_horizon_min,test_rows,target_mean,mae,relative_mae,r2,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda
baseline,0,validation,5.0,10033,0.24673761397355856,0.016244705739300452,0.06583797856228481,0.970367284038449,500,5,0.04,0.85,0.85,1,0.0,1.0
baseline,0,validation,10.0,10226,0.24492056776600468,0.020719156561775684,0.08459541291595656,0.9488021446154868,500,5,0.04,0.85,0.85,1,0.0,1.0
baseline,0,validation,15.0,10050,0.24787172644001382,0.021244665305677115,0.08570830409259456,0.9570595598092123,500,5,0.04,0.85,0.85,1,0.0,1.0
baseline,0,validation,20.0,10014,0.24464012772246985,0.022861022129176907,0.0934475563841735,0.952208350788701,500,5,0.04,0.85,0.85,1,0.0,1.0
baseline,0,validation,30.0,10182,0.24292622524049884,0.02664284398727296,0.10967463048049399,0.9395463276292491,500,5,0.04,0.85,0.85,1,0.0,1.0
baseline,0,validation,45.0,10105,0.24047493207258544,0.0313578071273795,0.13039948429183626,0.9224525641407356,500,5,0.04,0.85,0.85,1,0.0,1.0
baseline,0,validation,60.0,10084,0.24538690556167989,0.03729026109367822,0.15196516296712104,0.9070640491947771,500,5,0.04,0.85,0.85,1,0.0,1.0
baseline,0,validation,90.0,9989,0.23830317805463633,0.04474008958229618,0.18774441007261145,0.8836633168182602,500,5,0.04,0.85,0.85,1,0.0,1.0
baseline,0,validation,120.0,9948,0.24625713515464295,0.05126207083767852,0.20816481441436122,0.8699980828457847,500,5,0.04,0.85,0.85,1,0.0,1.0
optuna,1,validation,5.0,10033,0.24673761397355856,0.02151061800901875,0.08718013302715945,0.9680252559865961,500,4,0.0077055940127295905,0.6,0.95,5,0.5,3.0
optuna,1,validation,10.0,10226,0.24492056776600468,0.024706753728267243,0.10087659829317354,0.9495791270922084,500,4,0.0077055940127295905,0.6,0.95,5,0.5,3.0
optuna,1,validation,15.0,10050,0.24787172644001382,0.02524864939933753,0.10186175632842025,0.9565871426660781,500,4,0.0077055940127295905,0.6,0.95,5,0.5,3.0
optuna,1,validation,20.0,10014,0.24464012772246985,0.026532943328301566,0.1084570367719954,0.9522961191294127,500,4,0.0077055940127295905,0.6,0.95,5,0.5,3.0
optuna,1,validation,30.0,10182,0.24292622524049884,0.030230207422003084,0.12444192631765033,0.9394418910570151,500,4,0.0077055940127295905,0.6,0.95,5,0.5,3.0
optuna,1,validation,45.0,10105,0.24047493207258544,0.03366929352282608,0.1400116562364316,0.9224153177695433,500,4,0.0077055940127295905,0.6,0.95,5,0.5,3.0
optuna,1,validation,60.0,10084,0.24538690556167989,0.039265622829644235,0.16001515133730115,0.9053991632736855,500,4,0.0077055940127295905,0.6,0.95,5,0.5,3.0
optuna,1,validation,90.0,9989,0.23830317805463633,0.046323179592428126,0.19438758631161646,0.8826006364747141,500,4,0.0077055940127295905,0.6,0.95,5,0.5,3.0
optuna,1,validation,120.0,9948,0.24625713515464295,0.05245266425830628,0.21299957146568524,0.8646139414689199,500,4,0.0077055940127295905,0.6,0.95,5,0.5,3.0
optuna,2,validation,5.0,10033,0.24673761397355856,0.01443165226829028,0.05848987528037309,0.9715183379210337,1200,9,0.01163486988336814,0.6,0.9,7,0.1,2.0
optuna,2,validation,10.0,10226,0.24492056776600468,0.018667326064553146,0.0762178784526899,0.9511778739611482,1200,9,0.01163486988336814,0.6,0.9,7,0.1,2.0
optuna,2,validation,15.0,10050,0.24787172644001382,0.01947671308410793,0.07857577531667932,0.9589875589480347,1200,9,0.01163486988336814,0.6,0.9,7,0.1,2.0
optuna,2,validation,20.0,10014,0.24464012772246985,0.021018715870534787,0.08591687744039814,0.955608388393515,1200,9,0.01163486988336814,0.6,0.9,7,0.1,2.0
optuna,2,validation,30.0,10182,0.24292622524049884,0.0256422331699892,0.10555563996683845,0.9407765318556539,1200,9,0.01163486988336814,0.6,0.9,7,0.1,2.0
optuna,2,validation,45.0,10105,0.24047493207258544,0.030301068224432775,0.12600510150175087,0.9263938526684222,1200,9,0.01163486988336814,0.6,0.9,7,0.1,2.0
optuna,2,validation,60.0,10084,0.24538690556167989,0.03608517609473617,0.14705420410326614,0.9098793842813274,1200,9,0.01163486988336814,0.6,0.9,7,0.1,2.0
optuna,2,validation,90.0,9989,0.23830317805463633,0.04377755314587313,0.18370528460109814,0.8866569880319926,1200,9,0.01163486988336814,0.6,0.9,7,0.1,2.0
optuna,2,validation,120.0,9948,0.24625713515464295,0.05112802900710961,0.2076204978791886,0.8709344601050517,1200,9,0.01163486988336814,0.6,0.9,7,0.1,2.0
optuna,3,validation,5.0,10033,0.24673761397355856,0.017808054951563207,0.07217405836416815,0.9710855728325799,300,4,0.04622867212183828,0.6,1.0,5,0.05,5.0
optuna,3,validation,10.0,10226,0.24492056776600468,0.021779052829205215,0.08892292316590072,0.9504256311045192,300,4,0.04622867212183828,0.6,1.0,5,0.05,5.0
optuna,3,validation,15.0,10050,0.24787172644001382,0.02234886950048217,0.09016304449668933,0.9582894668732335,300,4,0.04622867212183828,0.6,1.0,5,0.05,5.0
optuna,3,validation,20.0,10014,0.24464012772246985,0.02343441106657968,0.0957913621315824,0.9536658238386714,300,4,0.04622867212183828,0.6,1.0,5,0.05,5.0
optuna,3,validation,30.0,10182,0.24292622524049884,0.02740851184324353,0.11282648390929753,0.9409492782410561,300,4,0.04622867212183828,0.6,1.0,5,0.05,5.0
optuna,3,validation,45.0,10105,0.24047493207258544,0.03164553583864103,0.13159598618407792,0.9229647536096555,300,4,0.04622867212183828,0.6,1.0,5,0.05,5.0
optuna,3,validation,60.0,10084,0.24538690556167989,0.037416574112126844,0.15247991341054626,0.9065264141303825,300,4,0.04622867212183828,0.6,1.0,5,0.05,5.0
optuna,3,validation,90.0,9989,0.23830317805463633,0.04468276145071112,0.18750384201954118,0.8836657803616441,300,4,0.04622867212183828,0.6,1.0,5,0.05,5.0
