stage,trial,metric_scope,features,train_rows,eval_rows,mae,r2,elapsed_seconds,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda
optuna,53,validation,52,485605,90631,0.028643320594255537,0.9311317684376217,41.16961519999313,800,10,0.013387836038795686,0.6,0.8,7,0.01,15.0
optuna,44,validation,52,485605,90631,0.02865374492029401,0.9311123102675649,29.06081290001748,800,10,0.014855303013156235,0.7,0.85,7,0.05,20.0
optuna,50,validation,52,485605,90631,0.02866039750024662,0.931167603017804,30.55450679999194,800,10,0.013458906651429067,0.7,0.85,7,0.05,20.0
optuna,26,validation,52,485605,90631,0.028673985731062387,0.9312970166977104,41.053828700009035,1200,9,0.00667356748191079,0.8,0.8,12,1.0,15.0
optuna,51,validation,52,485605,90631,0.02867804057061752,0.9310310779616869,30.718374099989887,800,10,0.013566198366286853,0.6,0.8,7,0.01,15.0
optuna,52,validation,52,485605,90631,0.028686595321105575,0.9310503575442775,31.23431349999737,800,10,0.012322475437137959,0.6,0.8,7,0.01,15.0
optuna,35,validation,52,485605,90631,0.028718668970035232,0.9307736253134836,52.232420899992576,1200,10,0.01237560546108492,0.75,0.85,7,0.05,15.0
optuna,36,validation,52,485605,90631,0.028724699926501687,0.9308341872643449,49.94590829999652,1200,10,0.01261692307152425,0.7,0.85,7,0.05,15.0
optuna,45,validation,52,485605,90631,0.02873173142331676,0.9311014490170963,23.991849299985915,800,9,0.015721340653624596,0.7,0.85,7,0.05,20.0
optuna,47,validation,52,485605,90631,0.02873424472600037,0.9310759713938026,24.35979689998203,800,9,0.01539940091945383,0.65,0.85,7,0.05,20.0
optuna,57,validation,52,485605,90631,0.02876744134779191,0.9311427452898627,40.95067709998693,800,9,0.010855631146747884,0.6,0.8,10,0.01,20.0
optuna,55,validation,52,485605,90631,0.028797734949032587,0.9306901322291627,45.86199390000547,800,10,0.018229188149805654,0.6,0.8,5,0.01,15.0
optuna,49,validation,52,485605,90631,0.02880767910412117,0.93033879889561,29.24090459998115,800,9,0.011419914538216785,0.65,0.9,3,0.1,20.0
optuna,39,validation,52,485605,90631,0.02881778993075261,0.929658031884716,24.083556199999293,500,10,0.014808422482639945,0.75,0.75,2,0.05,10.0
optuna,32,validation,52,485605,90631,0.02882940738733508,0.929647606354806,54.13910619998933,1200,10,0.008388620354541645,0.75,0.75,1,1.0,1.0
optuna,17,validation,52,485605,90631,0.02883260085619869,0.9306390181527114,37.20167370000854,1200,9,0.008309221030656361,0.7,0.9,7,0.0,8.0
optuna,34,validation,52,485605,90631,0.02883454932524848,0.9304376526603104,48.78634389999206,1200,10,0.01414795300198177,0.8,0.8,7,0.05,15.0
optuna,58,validation,52,485605,90631,0.028834945080449367,0.9305361191253161,35.05732699998771,800,10,0.0221602630188105,0.65,0.8,7,0.01,15.0
optuna,14,validation,52,485605,90631,0.02883750244018748,0.9309701705133527,35.34298570000101,1200,8,0.00977322389481531,0.8,0.8,12,1.0,1.0
optuna,21,validation,52,485605,90631,0.028851646254760357,0.9297355600740762,52.00644700002158,1200,10,0.008567527716651112,0.75,0.7,1,1.0,1.0
optuna,22,validation,52,485605,90631,0.02885278911082816,0.9297040232583679,50.97430620001978,1200,10,0.009895208324339195,0.75,0.7,1,1.0,1.0
optuna,56,validation,52,485605,90631,0.028854416849220355,0.9305048193317756,40.49814060001518,800,10,0.009544980318142954,0.6,0.8,7,0.01,3.0
optuna,19,validation,52,485605,90631,0.028859824978725534,0.9308118142161425,35.426598499994725,1200,9,0.006153676850674086,0.8,0.75,12,0.0,8.0
optuna,43,validation,52,485605,90631,0.02886279544036514,0.9305425732104557,17.886824399989564,500,10,0.019117954697149275,0.8,0.75,10,0.05,5.0
optuna,54,validation,52,485605,90631,0.028871224076878435,0.9301879177270724,55.76532639999641,800,10,0.013709444906796476,0.6,0.8,7,0.01,2.0
optuna,33,validation,52,485605,90631,0.02889505803732537,0.9309238194604939,43.75826989999041,1200,9,0.005145537723438116,0.7,0.75,12,1.0,1.0
optuna,48,validation,52,485605,90631,0.028895606547132992,0.9309260641429173,20.925467900000513,800,8,0.020059590750362156,0.7,0.85,7,0.05,20.0
optuna,2,validation,52,485605,90631,0.02889725667804165,0.930406283814516,30.633509199979017,1200,9,0.01163486988336814,0.6,0.9,7,0.1,2.0
optuna,40,validation,52,485605,90631,0.02890353244659537,0.9298475483779087,18.62506510000094,500,9,0.016536267124016686,0.7,0.85,2,0.05,10.0
optuna,16,validation,52,485605,90631,0.028922745644965223,0.9308221474781396,32.26454229999217,1200,8,0.01789872272757158,0.8,0.8,12,0.5,15.0
optuna,23,validation,52,485605,90631,0.028941713697234597,0.9299429312741798,42.86931239999831,1200,9,0.008314268143022588,0.85,0.6,1,1.0,1.0
optuna,6,validation,52,485605,90631,0.028958100931031835,0.9298223301702901,25.60948489999282,800,8,0.013861972205965517,0.85,0.85,3,1.0,1.0
optuna,12,validation,52,485605,90631,0.028967485937561537,0.9297144304664589,24.10185919998912,800,8,0.011276360141640473,0.85,0.9,3,1.0,1.0
optuna,42,validation,52,485605,90631,0.028980690463487602,0.9294079022597467,23.276075600006152,500,10,0.0124731093422063,0.75,0.75,2,0.05,10.0
optuna,13,validation,52,485605,90631,0.028981950374177216,0.9289338861403882,34.45371679999516,800,10,0.01458945422899899,0.95,0.75,1,1.0,2.0
optuna,25,validation,52,485605,90631,0.028991939542861316,0.9304978131330458,47.22132829998736,1200,10,0.016893720326231928,0.65,0.65,7,1.0,0.5
optuna,38,validation,52,485605,90631,0.029050492502506048,0.9297809334554743,50.51613299999735,1200,10,0.02158359656170719,0.65,0.85,5,0.05,15.0
optuna,46,validation,52,485605,90631,0.029126194365433834,0.9297598325437431,23.71715850001783,800,9,0.0353486065180946,0.6,0.9,7,0.05,20.0
optuna,18,validation,52,485605,90631,0.029169257411410965,0.9303794554940176,28.12955429998692,1200,7,0.008018894333062779,0.7,1.0,7,0.0,8.0
optuna,27,validation,52,485605,90631,0.02922482108942191,0.9305615486709884,34.080111799994484,1200,7,0.00711201132642349,0.9,0.8,12,0.0,15.0
optuna,59,validation,52,485605,90631,0.029246941728030475,0.9289105863172694,27.774756700004218,800,9,0.029364107572542892,0.6,0.8,3,0.01,5.0
optuna,29,validation,52,485605,90631,0.029346335296131145,0.9305033137864748,24.08019670000067,500,8,0.0105816323583603,0.9,0.95,12,0.001,15.0
optuna,24,validation,52,485605,90631,0.029356873435378517,0.9292364193745098,39.37031050000223,1200,8,0.005246523287242416,0.75,0.7,1,0.0,1.0
optuna,15,validation,52,485605,90631,0.029610126926631473,0.9301520818402234,28.235787999990862,1200,6,0.009438645681454236,0.7,0.75,12,0.1,0.5
optuna,20,validation,52,485605,90631,0.029878713602745143,0.9294663735190068,22.612028700008523,1200,5,0.028469452505046143,0.7,0.9,2,0.001,8.0
optuna,8,validation,52,485605,90631,0.029909600219279957,0.9291557549464025,21.735522000002675,800,7,0.0064828453892942645,0.75,0.7,2,0.05,20.0
optuna,11,validation,52,485605,90631,0.030199050818514938,0.926757900140865,46.067548099992564,1200,10,0.03444921750869451,0.9,0.95,7,0.1,2.0
optuna,41,validation,52,485605,90631,0.030205706668861028,0.9292727052341293,11.179396099993028,500,5,0.024374251596191058,0.75,0.8,2,0.05,10.0
baseline,0,validation,52,485605,90631,0.03021420150397512,0.9281102067014226,8.315989199996693,500,5,0.04,0.85,0.85,1,0.0,1.0
optuna,31,validation,52,485605,90631,0.030388883850648182,0.9265659610997161,27.89753849999397,1200,7,0.07678534505974526,0.65,0.95,7,0.01,8.0
optuna,3,validation,52,485605,90631,0.030728052243733102,0.9287325625100589,4.949818499997491,300,4,0.04622867212183828,0.6,1.0,5,0.05,5.0
