feature_a,feature_b,mean_abs_interaction,share_of_pair_interactions
occupancy_lag_1,occupancy_rolling_mean_6,0.02009490877389908,0.17319475859163017
occupancy_lag_1,occupancy_rolling_mean_12,0.006272206082940102,0.05405912664718131
occupancy_lag_1,occupancy_lag_3,0.0040741004049777985,0.035114010422117495
station_same_hour_occupancy,occupancy_lag_1,0.002996020019054413,0.025822210479990025
occupancy_rolling_mean_6,occupancy_rolling_mean_12,0.0025740978308022022,0.022185731590685015
current_weekday,occupancy_lag_1,0.0019025951623916626,0.01639815903399544
occupancy_lag_1,occupancy_lag_6,0.0017576171085238457,0.015148616708461965
prediction_horizon_min,occupancy_lag_1,0.0014452950563281775,0.012456763610669795
occupancy_lag_1,occupancy_rolling_std_12,0.0013833240373060107,0.01192264545168803
temperature,occupancy_lag_1,0.001355027430690825,0.011678761590018301
station_avg_occupancy,occupancy_lag_1,0.0013320958241820335,0.011481117793865962
occupancy_lag_6,occupancy_rolling_mean_6,0.001271790824830532,0.010961358788136215
station_same_hour_occupancy,occupancy_rolling_mean_6,0.0011671001557260752,0.01005904689578795
target_weekday,occupancy_lag_1,0.0010681954445317388,0.009206603235972607
station_peak_avg_occupancy,occupancy_lag_1,0.0010095358593389392,0.008701025787930238
current_weekday,occupancy_rolling_mean_6,0.0009776874212548137,0.008426529267066944
prediction_horizon_min,occupancy_rolling_mean_6,0.0008426627609878778,0.0072627736261742645
prediction_horizon_min,station_avg_occupancy,0.0007489892304874957,0.006455416664070901
occupancy_lag_3,occupancy_rolling_mean_12,0.0007380530587397516,0.006361159574024921
station_avg_occupancy,occupancy_rolling_mean_6,0.0007254068623296916,0.0062521640588431085
charge_count,occupancy_lag_1,0.0007087980629876256,0.006109015511869744
temperature,occupancy_rolling_mean_6,0.000660847348626703,0.005695736084156035
current_weekday,occupancy_rolling_mean_12,0.0006288315635174513,0.005419797226432997
occupancy_lag_3,occupancy_rolling_mean_6,0.0006248763529583812,0.005385707908304468
occupancy_lag_1,occupancy_lag_12,0.0006242850213311613,0.00538061131694512
station_peak_avg_occupancy,occupancy_rolling_mean_6,0.0005951879429630935,0.005129828319103154
target_weekday,occupancy_rolling_mean_6,0.0005307815154083073,0.004574719769091255
prediction_horizon_min,station_peak_avg_occupancy,0.0005297466996125877,0.004565800859632992
occupancy_rolling_mean_12,occupancy_rolling_std_12,0.0005283200880512595,0.004553505126034579
station_same_hour_occupancy,occupancy_lag_6,0.0005166024202480912,0.004452512448274198
occupancy_lag_12,occupancy_rolling_mean_12,0.0005090106860734522,0.0043870805230804754
occupancy_rolling_mean_6,occupancy_rolling_std_12,0.0005015351343899965,0.004322649955929205
station_same_hour_occupancy,occupancy_lag_3,0.0004981251549907029,0.004293259896710314
prediction_horizon_min,occupancy_rolling_mean_12,0.00048807516577653587,0.004206640670149954
station_same_hour_occupancy,occupancy_rolling_mean_12,0.000485385418869555,0.004183458177934203
current_hour_sin,station_avg_occupancy,0.0004645167791750282,0.004003594758065192
station_avg_duration,occupancy_lag_1,0.00045463081914931536,0.003918389272468572
occupancy_lag_6,occupancy_rolling_mean_12,0.00043919452582485974,0.003785346364637549
occupancy_lag_12,occupancy_rolling_mean_6,0.0004368737863842398,0.0037653442879078294
current_hour_cos,occupancy_lag_1,0.0004070265858899802,0.003508096109157514
target_hour_cos,occupancy_lag_1,0.0004004563670605421,0.003451468458996855
station_same_hour_occupancy,occupancy_rolling_std_12,0.00038798170862719417,0.0033439514018065762
current_hour_sin,occupancy_lag_1,0.00038722431054338813,0.0033374235105999767
occupancy_rolling_mean_6,occupancy_trend_12,0.0003821643767878413,0.0032938127624676018
global_same_hour_occupancy,occupancy_rolling_mean_12,0.0003725295828189701,0.0032107720363665614
station_avg_duration,occupancy_rolling_mean_6,0.000370565103366971,0.003193840506680339
humidity,occupancy_lag_1,0.00036620860919356346,0.0031562925901827436
charge_count,occupancy_rolling_mean_6,0.0003619910858105868,0.003119942440381717
target_hour_cos,station_avg_occupancy,0.00034407569910399616,0.0029655326288898676
target_weekday,occupancy_rolling_mean_12,0.0003431086370255798,0.002957197677728905
