stage,trial,metric_scope,prediction_horizon_min,test_rows,target_mean,mae,relative_mae,r2,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda
baseline,0,validation,5.0,10033,0.24673761397355856,0.016244705739300452,0.06583797856228481,0.970367284038449,500,5,0.04,0.85,0.85,1,0.0,1.0
baseline,0,validation,10.0,10226,0.24492056776600468,0.020719156561775684,0.08459541291595656,0.9488021446154868,500,5,0.04,0.85,0.85,1,0.0,1.0
baseline,0,validation,15.0,10050,0.24787172644001382,0.021244665305677115,0.08570830409259456,0.9570595598092123,500,5,0.04,0.85,0.85,1,0.0,1.0
baseline,0,validation,20.0,10014,0.24464012772246985,0.022861022129176907,0.0934475563841735,0.952208350788701,500,5,0.04,0.85,0.85,1,0.0,1.0
baseline,0,validation,30.0,10182,0.24292622524049884,0.02664284398727296,0.10967463048049399,0.9395463276292491,500,5,0.04,0.85,0.85,1,0.0,1.0
baseline,0,validation,45.0,10105,0.24047493207258544,0.0313578071273795,0.13039948429183626,0.9224525641407356,500,5,0.04,0.85,0.85,1,0.0,1.0
baseline,0,validation,60.0,10084,0.24538690556167989,0.03729026109367822,0.15196516296712104,0.9070640491947771,500,5,0.04,0.85,0.85,1,0.0,1.0
baseline,0,validation,90.0,9989,0.23830317805463633,0.04474008958229618,0.18774441007261145,0.8836633168182602,500,5,0.04,0.85,0.85,1,0.0,1.0
baseline,0,validation,120.0,9948,0.24625713515464295,0.05126207083767852,0.20816481441436122,0.8699980828457847,500,5,0.04,0.85,0.85,1,0.0,1.0
stage1,1,validation,5.0,10033,0.24673761397355856,0.016328572647708175,0.06617788177791982,0.9717623887714404,1200,5,0.01,1.0,0.7,10,0.1,1.0
stage1,1,validation,10.0,10226,0.24492056776600468,0.020808004782532495,0.08495817632765049,0.9503858418886801,1200,5,0.01,1.0,0.7,10,0.1,1.0
stage1,1,validation,15.0,10050,0.24787172644001382,0.021492799880936424,0.08670936451535059,0.9580510149532395,1200,5,0.01,1.0,0.7,10,0.1,1.0
stage1,1,validation,20.0,10014,0.24464012772246985,0.022681323166929508,0.09271301228496809,0.9543295349106163,1200,5,0.01,1.0,0.7,10,0.1,1.0
stage1,1,validation,30.0,10182,0.24292622524049884,0.02661879417220138,0.10957562999156871,0.9415016427832673,1200,5,0.01,1.0,0.7,10,0.1,1.0
stage1,1,validation,45.0,10105,0.24047493207258544,0.0310359203804431,0.12906093833961518,0.9241746694865114,1200,5,0.01,1.0,0.7,10,0.1,1.0
stage1,1,validation,60.0,10084,0.24538690556167989,0.03717460402901998,0.15149383763542287,0.9077161278994278,1200,5,0.01,1.0,0.7,10,0.1,1.0
stage1,1,validation,90.0,9989,0.23830317805463633,0.044666848386276124,0.18743706546807049,0.8853899441449071,1200,5,0.01,1.0,0.7,10,0.1,1.0
stage1,1,validation,120.0,9948,0.24625713515464295,0.050769983818195266,0.20616654939282494,0.8715247647435704,1200,5,0.01,1.0,0.7,10,0.1,1.0
stage1,2,validation,5.0,10033,0.24673761397355856,0.016275393590662688,0.06596235299741054,0.9715269581685869,1200,5,0.01,1.0,0.7,5,1.0,10.0
stage1,2,validation,10.0,10226,0.24492056776600468,0.02074293732164836,0.08469250872170936,0.9502169314168886,1200,5,0.01,1.0,0.7,5,1.0,10.0
stage1,2,validation,15.0,10050,0.24787172644001382,0.02137916179925853,0.08625090931632493,0.9583150198180674,1200,5,0.01,1.0,0.7,5,1.0,10.0
stage1,2,validation,20.0,10014,0.24464012772246985,0.02256165482299092,0.0922238515530282,0.9541568467878936,1200,5,0.01,1.0,0.7,5,1.0,10.0
stage1,2,validation,30.0,10182,0.24292622524049884,0.026681927605732004,0.1098355172617394,0.9411615766974898,1200,5,0.01,1.0,0.7,5,1.0,10.0
stage1,2,validation,45.0,10105,0.24047493207258544,0.03104246526761196,0.12908815484452257,0.9238354756940956,1200,5,0.01,1.0,0.7,5,1.0,10.0
stage1,2,validation,60.0,10084,0.24538690556167989,0.03718083710681369,0.15151923865582143,0.9074453108095547,1200,5,0.01,1.0,0.7,5,1.0,10.0
stage1,2,validation,90.0,9989,0.23830317805463633,0.044656963874105546,0.18739558674230916,0.8852230489940403,1200,5,0.01,1.0,0.7,5,1.0,10.0
stage1,2,validation,120.0,9948,0.24625713515464295,0.0506966523782594,0.20586876537170484,0.8714589415601723,1200,5,0.01,1.0,0.7,5,1.0,10.0
stage1,3,validation,5.0,10033,0.24673761397355856,0.015182884437669533,0.06153453538420208,0.9703691445742972,500,8,0.08,1.0,0.7,10,0.01,1.0
stage1,3,validation,10.0,10226,0.24492056776600468,0.019735179051042537,0.08057787563965384,0.9481667457863235,500,8,0.08,1.0,0.7,10,0.01,1.0
stage1,3,validation,15.0,10050,0.24787172644001382,0.02090990750536737,0.08435777571601202,0.9561543095164937,500,8,0.08,1.0,0.7,10,0.01,1.0
stage1,3,validation,20.0,10014,0.24464012772246985,0.021762629971725973,0.08895772813041704,0.9539241211551366,500,8,0.08,1.0,0.7,10,0.01,1.0
stage1,3,validation,30.0,10182,0.24292622524049884,0.02662998111370076,0.10962168076887077,0.9384807607410324,500,8,0.08,1.0,0.7,10,0.01,1.0
stage1,3,validation,45.0,10105,0.24047493207258544,0.03125653677840578,0.12997835786464113,0.9237723089601335,500,8,0.08,1.0,0.7,10,0.01,1.0
stage1,3,validation,60.0,10084,0.24538690556167989,0.036778172156982335,0.14987829962971622,0.9076906454866526,500,8,0.08,1.0,0.7,10,0.01,1.0
stage1,3,validation,90.0,9989,0.23830317805463633,0.04458624255414607,0.18709881638222917,0.8834413795725061,500,8,0.08,1.0,0.7,10,0.01,1.0
stage1,3,validation,120.0,9948,0.24625713515464295,0.051614514783667485,0.20959601739561753,0.8698204317031579,500,8,0.08,1.0,0.7,10,0.01,1.0
stage1,4,validation,5.0,10033,0.24673761397355856,0.01923975444483103,0.0779765765542859,0.9693209280197128,1200,3,0.01,1.0,0.7,10,0.01,3.0
