stage,trial,metric_scope,features,train_rows,eval_rows,mae,r2,elapsed_seconds,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda
stage2,23,validation,52,485605,90631,0.028779815868823225,0.9306909754643375,16.75472389999777,500,9,0.02,0.85,0.9,7,0.05,15.0
stage2,3,validation,52,485605,90631,0.028806535901758815,0.9307627838091019,16.940335099992808,500,9,0.015,0.75,0.9,7,0.01,15.0
stage2,40,validation,52,485605,90631,0.028955812270406337,0.9304402677502254,24.951783800002886,800,8,0.015,0.85,1.0,7,0.05,10.0
stage1,17,validation,52,485605,90631,0.02895864437666714,0.9305912171398613,22.540956500015454,500,8,0.02,0.85,1.0,10,0.01,10.0
stage2,38,validation,52,485605,90631,0.028971439559709003,0.9305651711508215,14.128571400011424,500,8,0.02,0.95,0.9,10,0.01,8.0
stage2,37,validation,52,485605,90631,0.028971771539625227,0.9301427352737448,17.943606400018325,500,9,0.015,0.8,0.9,7,0.05,5.0
stage2,18,validation,52,485605,90631,0.028986812686512292,0.9306539098931571,15.082529200008139,500,8,0.015,0.95,0.9,10,0.05,15.0
stage2,2,validation,52,485605,90631,0.029033193063893653,0.9288013544402085,11.090320899995277,300,9,0.03,0.9,0.8,2,1.0,2.0
stage2,1,validation,52,485605,90631,0.029060169826618746,0.9305531420598948,16.32053040000028,500,8,0.015,0.6,1.0,7,0.001,3.0
stage1,14,validation,52,485605,90631,0.02907656245669292,0.9296752186146939,22.309395300020697,500,8,0.02,0.7,1.0,5,0.01,5.0
stage2,19,validation,52,485605,90631,0.029107699486227333,0.9289273143874873,11.068272000004072,300,9,0.02,0.9,1.0,5,0.0,5.0
stage2,31,validation,52,485605,90631,0.02910891909408657,0.9301666392317319,14.490144300012616,500,8,0.025,0.6,1.0,7,0.001,3.0
stage2,6,validation,52,485605,90631,0.0291112678785981,0.9290664856348039,9.017192400002386,300,8,0.025,1.0,1.0,3,0.001,8.0
stage2,21,validation,52,485605,90631,0.02911447427866291,0.9308107817506155,19.65191370001412,800,7,0.025,0.75,0.9,12,0.05,15.0
stage2,33,validation,52,485605,90631,0.029117387918181234,0.9285934021924411,7.261785799986683,200,9,0.04,1.0,0.8,1,1.0,5.0
stage2,27,validation,52,485605,90631,0.029128282784392147,0.9289002050605606,14.942670000018552,500,8,0.015,0.9,1.0,3,0.001,3.0
stage2,11,validation,52,485605,90631,0.02914913099728586,0.9290026859224495,9.2889320999966,300,9,0.05,1.0,0.6,2,1.0,5.0
stage1,36,validation,52,485605,90631,0.02918592164100487,0.9288198567875576,20.939138500019908,500,8,0.02,1.0,1.0,5,0.0,5.0
stage2,15,validation,52,485605,90631,0.029189332232190467,0.9305640828907646,9.092431099998066,300,7,0.025,0.95,0.9,12,0.05,10.0
stage2,12,validation,52,485605,90631,0.029196452346267412,0.9296377094322923,15.258959099999629,500,8,0.015,0.6,0.9,3,0.05,3.0
stage1,15,validation,52,485605,90631,0.029206427426175366,0.9285578420568885,13.10515829999349,300,8,0.04,1.0,0.7,1,1.0,3.0
stage2,4,validation,52,485605,90631,0.029216954995541555,0.9289777898667498,28.21502530001453,1000,8,0.0125,0.6,0.8,1,0.05,1.0
stage2,30,validation,52,485605,90631,0.029224448319388512,0.9291178232629158,29.5343617000035,800,9,0.0075,0.6,0.8,1,0.001,2.0
stage2,25,validation,52,485605,90631,0.029228270091285643,0.9286703784127445,23.13996900001075,800,8,0.025,0.7,0.9,3,0.001,3.0
stage1,63,validation,52,485605,90631,0.02923772039727549,0.9292633678411205,25.36065369998687,800,8,0.01,0.7,0.7,1,0.01,1.0
stage2,17,validation,52,485605,90631,0.02925350248713205,0.9294284638306226,12.33010779999313,500,7,0.025,0.9,1.0,5,0.001,8.0
stage2,26,validation,52,485605,90631,0.02930271383546818,0.9297715994230639,19.883702999999514,800,7,0.015,0.7,1.0,5,0.05,3.0
stage2,20,validation,52,485605,90631,0.029303256835929502,0.9286240600015865,20.576136199990287,800,8,0.025,1.0,1.0,5,0.001,8.0
stage2,16,validation,52,485605,90631,0.029311999676129755,0.9286377460798133,12.812782500026515,500,8,0.04,1.0,0.7,2,0.5,2.0
stage2,10,validation,52,485605,90631,0.029319119419054372,0.9297148537089202,13.729068799992092,500,7,0.02,0.6,0.9,3,0.01,5.0
stage2,22,validation,52,485605,90631,0.029322055734736566,0.9292117074239953,16.488997600012226,800,7,0.02,1.0,1.0,3,0.0,5.0
stage2,14,validation,52,485605,90631,0.029325519922610496,0.9298298625994809,12.563083299988648,500,7,0.015,0.9,0.9,7,0.001,3.0
stage1,24,validation,52,485605,90631,0.029341219188975556,0.9284237231419399,38.6757144999865,800,8,0.02,1.0,0.7,1,0.0,1.0
stage1,18,validation,52,485605,90631,0.02935590993356171,0.928746427357801,11.987872900004731,300,8,0.04,1.0,0.7,3,0.01,3.0
stage1,80,validation,52,485605,90631,0.029356503861755763,0.9283615231450852,15.497065700008534,500,8,0.04,0.85,1.0,1,0.01,10.0
stage2,29,validation,52,485605,90631,0.02937388511711314,0.9292329761320535,5.06525819998933,200,7,0.04,1.0,0.8,1,1.0,2.0
stage1,27,validation,52,485605,90631,0.029394196086372292,0.9284081381946669,49.19178349999129,1200,8,0.02,1.0,0.7,5,0.0,3.0
stage2,36,validation,52,485605,90631,0.029394618765051606,0.9292335741040733,15.080222399992635,500,8,0.0125,0.8,0.6,1,0.01,1.0
stage2,8,validation,52,485605,90631,0.029405774732495928,0.929934343378741,8.62685080000665,300,7,0.02,0.95,1.0,7,0.001,10.0
stage2,13,validation,52,485605,90631,0.029411035493321854,0.9283111321682717,22.514435699995374,800,9,0.025,1.0,1.0,7,0.0,5.0
stage2,34,validation,52,485605,90631,0.02941597953700356,0.9291957877880317,18.16664400001173,800,7,0.015,1.0,1.0,5,0.0,8.0
stage2,28,validation,52,485605,90631,0.029417734033912506,0.9292284099867509,5.363557100004982,200,7,0.05,0.9,0.6,2,1.0,2.0
stage2,9,validation,52,485605,90631,0.02944114991230957,0.9289404307152269,26.02353779997793,1000,7,0.0075,0.8,0.8,2,0.05,0.5
stage2,7,validation,52,485605,90631,0.02947666240789505,0.9282158491565404,16.76548050000565,800,7,0.025,1.0,1.0,5,0.001,3.0
stage2,32,validation,52,485605,90631,0.02948886936006067,0.92967014140851,7.71864530001767,300,7,0.02,1.0,0.9,7,0.001,8.0
stage1,26,validation,52,485605,90631,0.029492541904959733,0.929111028484493,20.753351399995154,500,8,0.08,1.0,1.0,10,0.01,10.0
