model,features,mae,r2,elapsed_seconds
station_avg_hour_full_d6_n600_lr0.03,15,0.1250345117478116,0.5193693068879774,3.628269499997259
station_avg_hour_full_d6_n400_lr0.04,15,0.12506195278445886,0.5197541812960154,2.4610530999998446
station_avg_hour_full,15,0.12543970958544762,0.5159766245451911,1.3776253999967594
station_avg_hour_peak_full,16,0.12551516969717683,0.5153968897976017,1.2145072999992408
station_avg_weekday_hour_smoothed,16,0.1256231233411237,0.510475578191184,1.25331510000251
station_avg_hour_full_d4_n600_lr0.03,15,0.12612174779046081,0.5105487167577589,2.902885499999684
station_avg_hour_full_d4_n400_lr0.04,15,0.12622288247874008,0.51011232748334,1.9754381000020658
station_avg_hour_full_d3_n400_lr0.04,15,0.12647960692526164,0.5063018223314597,1.7919287999975495
station_avg_hour_full_d3_n600_lr0.03,15,0.126596668283885,0.5059026495912321,2.8107061000046087
station_avg_peak_full,15,0.12933987215804127,0.5039380741632503,1.218537799999467
station_avg_full,14,0.1300852848063208,0.4998670179154361,1.6144222000002628
