split,model,feature,importance
time_unique_80_20,baseline,station_avg_occupancy,0.67837167
time_unique_80_20,baseline,station_avg_duration,0.086936966
time_unique_80_20,baseline,charge_count,0.051060494
time_unique_80_20,baseline,hour,0.04714294
time_unique_80_20,baseline,s_price,0.026781008
time_unique_80_20,baseline,station_id,0.022657098
time_unique_80_20,baseline,e_price,0.022282075
time_unique_80_20,baseline,temperature,0.017023953
time_unique_80_20,baseline,weekday,0.015396939
time_unique_80_20,baseline,is_holiday,0.011567567
time_unique_80_20,baseline,rain,0.010463055
time_unique_80_20,baseline,humidity,0.01031621
time_unique_80_20,baseline_peak,station_avg_occupancy,0.65657717
time_unique_80_20,baseline_peak,station_avg_duration,0.097375095
time_unique_80_20,baseline_peak,charge_count,0.050967716
time_unique_80_20,baseline_peak,hour,0.04973358
time_unique_80_20,baseline_peak,s_price,0.024301622
time_unique_80_20,baseline_peak,station_id,0.024029762
time_unique_80_20,baseline_peak,e_price,0.019604739
time_unique_80_20,baseline_peak,temperature,0.016688777
time_unique_80_20,baseline_peak,weekday,0.014900664
time_unique_80_20,baseline_peak,humidity,0.011374013
time_unique_80_20,baseline_peak,rain,0.01029317
time_unique_80_20,baseline_peak,is_holiday,0.009293053
time_unique_80_20,baseline_peak,is_morning_peak,0.007717174
time_unique_80_20,baseline_peak,is_evening_peak,0.007143462
time_unique_80_20,baseline_poi_counts,station_avg_occupancy,0.6910903
time_unique_80_20,baseline_poi_counts,station_avg_duration,0.066058144
time_unique_80_20,baseline_poi_counts,hour,0.04219005
time_unique_80_20,baseline_poi_counts,charge_count,0.03734402
time_unique_80_20,baseline_poi_counts,poi_food_beverage_count,0.018153924
time_unique_80_20,baseline_poi_counts,s_price,0.016931925
time_unique_80_20,baseline_poi_counts,e_price,0.016422067
time_unique_80_20,baseline_poi_counts,poi_business_residential_count,0.01537219
time_unique_80_20,baseline_poi_counts,poi_total_count,0.015205901
time_unique_80_20,baseline_poi_counts,station_id,0.014727915
time_unique_80_20,baseline_poi_counts,temperature,0.014379747
time_unique_80_20,baseline_poi_counts,weekday,0.012446106
time_unique_80_20,baseline_poi_counts,poi_lifestyle_services_count,0.012391802
time_unique_80_20,baseline_poi_counts,humidity,0.010285556
time_unique_80_20,baseline_poi_counts,rain,0.0090017235
time_unique_80_20,baseline_poi_counts,is_holiday,0.007998617
