split,model,features,rows,train_rows,test_rows,train_stations,test_stations,mae,r2,elapsed_seconds,train_start,train_end,test_start,test_end
time_unique_80_20,baseline,12,355750,284558,71192,1423,1423,0.129109020972693,0.5074398156800283,2.2105187000015576,2022-09-01T00:00:00,2023-01-23T19:00:00,2023-01-23T19:05:00,2023-02-28T23:55:00
time_unique_80_20,baseline_peak,14,355750,284558,71192,1423,1423,0.12900569484116614,0.50768517323698,2.4025504999990517,2022-09-01T00:00:00,2023-01-23T19:00:00,2023-01-23T19:05:00,2023-02-28T23:55:00
time_unique_80_20,baseline_poi_counts,16,355750,284558,71192,1423,1423,0.12862599540588737,0.5098339326647652,4.513541399999667,2022-09-01T00:00:00,2023-01-23T19:00:00,2023-01-23T19:05:00,2023-02-28T23:55:00
time_unique_80_20,baseline_poi_counts_ratios,19,355750,284558,71192,1423,1423,0.12857996468465335,0.5099988672220772,4.500587499998801,2022-09-01T00:00:00,2023-01-23T19:00:00,2023-01-23T19:05:00,2023-02-28T23:55:00
time_unique_80_20,weak_no_station_history,9,355750,284558,71192,1423,1423,0.1827800113942965,0.19423184570675966,4.7097260000009555,2022-09-01T00:00:00,2023-01-23T19:00:00,2023-01-23T19:05:00,2023-02-28T23:55:00
time_unique_80_20,weak_no_station_history_poi,16,355750,284558,71192,1423,1423,0.1553573694008252,0.4036139730419315,5.689293600000383,2022-09-01T00:00:00,2023-01-23T19:00:00,2023-01-23T19:05:00,2023-02-28T23:55:00
station_holdout_80_20,baseline,12,355750,284500,71250,1138,285,0.21265129172793457,0.012600231602569623,5.080149400000664,2022-09-01T00:00:00,2023-02-28T23:55:00,2022-09-01T00:05:00,2023-02-28T23:55:00
station_holdout_80_20,baseline_peak,14,355750,284500,71250,1138,285,0.213223447962159,0.010082602736822932,5.276500299998588,2022-09-01T00:00:00,2023-02-28T23:55:00,2022-09-01T00:05:00,2023-02-28T23:55:00
station_holdout_80_20,baseline_poi_counts,16,355750,284500,71250,1138,285,0.21208540225995307,0.015203353181355794,5.151978299996699,2022-09-01T00:00:00,2023-02-28T23:55:00,2022-09-01T00:05:00,2023-02-28T23:55:00
station_holdout_80_20,baseline_poi_counts_ratios,19,355750,284500,71250,1138,285,0.21176721003807844,0.014437338194922433,6.104124200002843,2022-09-01T00:00:00,2023-02-28T23:55:00,2022-09-01T00:05:00,2023-02-28T23:55:00
station_holdout_80_20,weak_no_station_history,9,355750,284500,71250,1138,285,0.20687764615010606,0.014316053752131297,4.434886399998504,2022-09-01T00:00:00,2023-02-28T23:55:00,2022-09-01T00:05:00,2023-02-28T23:55:00
station_holdout_80_20,weak_no_station_history_poi,16,355750,284500,71250,1138,285,0.20958407986713173,0.007280927964917749,5.674063599999499,2022-09-01T00:00:00,2023-02-28T23:55:00,2022-09-01T00:05:00,2023-02-28T23:55:00
